table_name,column_name,dtype,missing_count,missing_pct,non_missing_count,unique_count
meetings,circuit_image,string,0,0.0,25,24
meetings,circuit_info_url,string,0,0.0,25,24
meetings,circuit_key,bigint,0,0.0,25,24
meetings,circuit_short_name,string,0,0.0,25,24
meetings,circuit_type,string,0,0.0,25,3
meetings,country_code,string,0,0.0,25,21
meetings,country_flag,string,0,0.0,25,21
meetings,country_key,bigint,0,0.0,25,21
meetings,country_name,string,0,0.0,25,21
meetings,date_end,string,0,0.0,25,25
meetings,date_start,string,0,0.0,25,25
meetings,gmt_offset,string,0,0.0,25,12
meetings,is_cancelled,boolean,0,0.0,25,1
meetings,location,string,0,0.0,25,24
meetings,meeting_key,bigint,0,0.0,25,25
meetings,meeting_name,string,0,0.0,25,25
meetings,meeting_official_name,string,0,0.0,25,25
meetings,year,bigint,0,0.0,25,1
meetings,source_file,string,0,0.0,25,1
sessions,circuit_key,bigint,0,0.0,123,24
sessions,circuit_short_name,string,0,0.0,123,24
sessions,country_code,string,0,0.0,123,21
sessions,country_key,bigint,0,0.0,123,21
sessions,country_name,string,0,0.0,123,21
sessions,date_end,string,0,0.0,123,123
sessions,date_start,string,0,0.0,123,123
sessions,gmt_offset,string,0,0.0,123,12
sessions,is_cancelled,boolean,0,0.0,123,1
sessions,location,string,0,0.0,123,24
sessions,meeting_key,bigint,0,0.0,123,25
sessions,session_key,bigint,0,0.0,123,123
sessions,session_name,string,0,0.0,123,10
sessions,session_type,string,0,0.0,123,3
sessions,year,bigint,0,0.0,123,1
sessions,source_file,string,0,0.0,123,1
drivers,broadcast_name,string,0,0.0,40,21
drivers,country_code,string,0,0.0,40,15
drivers,driver_number,bigint,0,0.0,40,21
drivers,first_name,string,0,0.0,40,21
drivers,full_name,string,0,0.0,40,21
drivers,headshot_url,string,1,2.5,39,21
drivers,last_name,string,0,0.0,40,21
drivers,meeting_key,bigint,0,0.0,40,2
drivers,name_acronym,string,0,0.0,40,21
drivers,session_key,bigint,0,0.0,40,2
drivers,team_colour,string,0,0.0,40,10
drivers,team_name,string,0,0.0,40,10
drivers,source_file,string,0,0.0,40,2
laps,date_start,string,0,0.0,2031,1991
laps,driver_number,bigint,0,0.0,2031,21
laps,duration_sector_1,double,7,0.3447,2024,1559
laps,duration_sector_2,double,1,0.0492,2030,1597
laps,duration_sector_3,double,2,0.0985,2029,1423
laps,i1_speed,bigint,537,26.4402,1494,85
laps,i2_speed,bigint,1,0.0492,2030,130
laps,is_pit_out_lap,boolean,0,0.0,2031,2
laps,lap_duration,double,2,0.0985,2029,1798
laps,lap_number,bigint,0,0.0,2031,57
laps,meeting_key,bigint,0,0.0,2031,2
laps,segments_sector_1,array<bigint>,1,0.0492,2030,418
laps,segments_sector_2,array<bigint>,1,0.0492,2030,370
laps,segments_sector_3,array<bigint>,1,0.0492,2030,262
laps,session_key,bigint,0,0.0,2031,2
laps,st_speed,bigint,172,8.4687,1859,128
laps,source_file,string,0,0.0,2031,2
pit,date,string,0,0.0,62,61
pit,driver_number,bigint,0,0.0,62,21
pit,lane_duration,double,0,0.0,62,38
pit,lap_number,bigint,0,0.0,62,24
pit,meeting_key,bigint,0,0.0,62,2
pit,pit_duration,double,0,0.0,62,38
pit,session_key,bigint,0,0.0,62,2
pit,stop_duration,string,62,100.0,0,1
pit,source_file,string,0,0.0,62,2
weather,air_temperature,double,0,0.0,303,22
weather,date,string,0,0.0,303,303
weather,humidity,double,0,0.0,303,18
weather,meeting_key,bigint,0,0.0,303,2
weather,pressure,double,0,0.0,303,20
weather,rainfall,bigint,0,0.0,303,1
weather,session_key,bigint,0,0.0,303,2
weather,track_temperature,double,0,0.0,303,75
weather,wind_direction,bigint,0,0.0,303,144
weather,wind_speed,double,0,0.0,303,25
weather,source_file,string,0,0.0,303,2
position,date,string,0,0.0,927,353
position,driver_number,bigint,0,0.0,927,21
position,meeting_key,bigint,0,0.0,927,2
position,position,bigint,0,0.0,927,20
position,session_key,bigint,0,0.0,927,2
position,source_file,string,0,0.0,927,2
race_control,category,string,0,0.0,139,6
race_control,date,string,0,0.0,139,138
race_control,driver_number,bigint,101,72.6619,38,12
race_control,flag,string,84,60.4317,55,8
race_control,lap_number,bigint,0,0.0,139,48
race_control,meeting_key,bigint,0,0.0,139,2
race_control,message,string,0,0.0,139,119
race_control,qualifying_phase,string,139,100.0,0,1
race_control,scope,string,84,60.4317,55,4
race_control,sector,bigint,126,90.6475,13,5
race_control,session_key,bigint,0,0.0,139,2
race_control,source_file,string,0,0.0,139,2
session_result,dnf,boolean,0,0.0,40,2
session_result,dns,boolean,0,0.0,40,1
session_result,driver_number,bigint,0,0.0,40,21
session_result,dsq,boolean,0,0.0,40,1
session_result,duration,double,18,45.0,22,23
session_result,gap_to_leader,string,2,5.0,38,24
session_result,meeting_key,bigint,0,0.0,40,2
session_result,number_of_laps,bigint,0,0.0,40,7
session_result,points,double,0,0.0,40,13
session_result,position,bigint,2,5.0,38,21
session_result,session_key,bigint,0,0.0,40,2
session_result,source_file,string,0,0.0,40,2
