endpoint,column_name,observed_types,files_seen,non_null_sample_count,sample_rows_checked
drivers,broadcast_name,string,2,40,40
drivers,country_code,string,2,40,40
drivers,driver_number,bigint,2,40,40
drivers,first_name,string,2,40,40
drivers,full_name,string,2,40,40
drivers,headshot_url,string,2,39,40
drivers,last_name,string,2,40,40
drivers,meeting_key,bigint,2,40,40
drivers,name_acronym,string,2,40,40
drivers,session_key,bigint,2,40,40
drivers,team_colour,string,2,40,40
drivers,team_name,string,2,40,40
laps,date_start,string,2,1000,1000
laps,driver_number,bigint,2,1000,1000
laps,duration_sector_1,double,2,998,1000
laps,duration_sector_2,double,2,1000,1000
laps,duration_sector_3,double,2,1000,1000
laps,i1_speed,bigint,2,736,1000
laps,i2_speed,bigint,2,1000,1000
laps,is_pit_out_lap,boolean,2,1000,1000
laps,lap_duration,double,2,1000,1000
laps,lap_number,bigint,2,1000,1000
laps,meeting_key,bigint,2,1000,1000
laps,segments_sector_1,array<bigint>,2,1000,1000
laps,segments_sector_2,array<bigint>,2,1000,1000
laps,segments_sector_3,array<bigint>,2,1000,1000
laps,session_key,bigint,2,1000,1000
laps,st_speed,bigint,2,853,1000
meetings,circuit_image,string,1,25,25
meetings,circuit_info_url,string,1,25,25
meetings,circuit_key,bigint,1,25,25
meetings,circuit_short_name,string,1,25,25
meetings,circuit_type,string,1,25,25
meetings,country_code,string,1,25,25
meetings,country_flag,string,1,25,25
meetings,country_key,bigint,1,25,25
meetings,country_name,string,1,25,25
meetings,date_end,string,1,25,25
meetings,date_start,string,1,25,25
meetings,gmt_offset,string,1,25,25
meetings,is_cancelled,boolean,1,25,25
meetings,location,string,1,25,25
meetings,meeting_key,bigint,1,25,25
meetings,meeting_name,string,1,25,25
meetings,meeting_official_name,string,1,25,25
meetings,year,bigint,1,25,25
pit,date,string,2,62,62
pit,driver_number,bigint,2,62,62
pit,lane_duration,double,2,62,62
pit,lap_number,bigint,2,62,62
pit,meeting_key,bigint,2,62,62
pit,pit_duration,double,2,62,62
pit,session_key,bigint,2,62,62
pit,stop_duration,string,2,0,62
position,date,string,2,927,927
position,driver_number,bigint,2,927,927
position,meeting_key,bigint,2,927,927
position,position,bigint,2,927,927
position,session_key,bigint,2,927,927
race_control,category,string,2,139,139
race_control,date,string,2,139,139
race_control,driver_number,bigint,2,38,139
race_control,flag,string,2,55,139
race_control,lap_number,bigint,2,139,139
race_control,meeting_key,bigint,2,139,139
race_control,message,string,2,139,139
race_control,qualifying_phase,string,2,0,139
race_control,scope,string,2,55,139
race_control,sector,bigint,2,13,139
race_control,session_key,bigint,2,139,139
session_result,dnf,boolean,2,40,40
session_result,dns,boolean,2,40,40
session_result,driver_number,bigint,2,40,40
session_result,dsq,boolean,2,40,40
session_result,duration,double,2,22,40
session_result,gap_to_leader,string,2,38,40
session_result,meeting_key,bigint,2,40,40
session_result,number_of_laps,bigint,2,40,40
session_result,points,double,2,40,40
session_result,position,bigint,2,38,40
session_result,session_key,bigint,2,40,40
sessions,circuit_key,bigint,1,123,123
sessions,circuit_short_name,string,1,123,123
sessions,country_code,string,1,123,123
sessions,country_key,bigint,1,123,123
sessions,country_name,string,1,123,123
sessions,date_end,string,1,123,123
sessions,date_start,string,1,123,123
sessions,gmt_offset,string,1,123,123
sessions,is_cancelled,boolean,1,123,123
sessions,location,string,1,123,123
sessions,meeting_key,bigint,1,123,123
sessions,session_key,bigint,1,123,123
sessions,session_name,string,1,123,123
sessions,session_type,string,1,123,123
sessions,year,bigint,1,123,123
weather,air_temperature,double,2,303,303
weather,date,string,2,303,303
weather,humidity,double,2,303,303
weather,meeting_key,bigint,2,303,303
weather,pressure,double,2,303,303
weather,rainfall,bigint,2,303,303
weather,session_key,bigint,2,303,303
weather,track_temperature,double,2,303,303
weather,wind_direction,bigint,2,303,303
weather,wind_speed,double,2,303,303
