endpoint,column_name,observed_types,files_seen,non_null_sample_count,sample_rows_checked
drivers,broadcast_name,str,2,40,40
drivers,country_code,str,2,40,40
drivers,driver_number,int,2,40,40
drivers,first_name,str,2,40,40
drivers,full_name,str,2,40,40
drivers,headshot_url,null|str,2,39,40
drivers,last_name,str,2,40,40
drivers,meeting_key,int,2,40,40
drivers,name_acronym,str,2,40,40
drivers,session_key,int,2,40,40
drivers,team_colour,str,2,40,40
drivers,team_name,str,2,40,40
laps,date_start,str,2,1902,1902
laps,driver_number,int,2,1902,1902
laps,duration_sector_1,float|null,2,1895,1902
laps,duration_sector_2,float|null,2,1901,1902
laps,duration_sector_3,float|null,2,1900,1902
laps,i1_speed,int|null,2,1401,1902
laps,i2_speed,int|null,2,1901,1902
laps,is_pit_out_lap,bool,2,1902,1902
laps,lap_duration,float|null,2,1900,1902
laps,lap_number,int,2,1902,1902
laps,meeting_key,int,2,1902,1902
laps,segments_sector_1,list|null,2,1901,1902
laps,segments_sector_2,list|null,2,1901,1902
laps,segments_sector_3,list|null,2,1901,1902
laps,session_key,int,2,1902,1902
laps,st_speed,int|null,2,1753,1902
meetings,circuit_image,str,1,25,25
meetings,circuit_info_url,str,1,25,25
meetings,circuit_key,int,1,25,25
meetings,circuit_short_name,str,1,25,25
meetings,circuit_type,str,1,25,25
meetings,country_code,str,1,25,25
meetings,country_flag,str,1,25,25
meetings,country_key,int,1,25,25
meetings,country_name,str,1,25,25
meetings,date_end,str,1,25,25
meetings,date_start,str,1,25,25
meetings,gmt_offset,str,1,25,25
meetings,is_cancelled,bool,1,25,25
meetings,location,str,1,25,25
meetings,meeting_key,int,1,25,25
meetings,meeting_name,str,1,25,25
meetings,meeting_official_name,str,1,25,25
meetings,year,int,1,25,25
pit,date,str,2,62,62
pit,driver_number,int,2,62,62
pit,lane_duration,float,2,62,62
pit,lap_number,int,2,62,62
pit,meeting_key,int,2,62,62
pit,pit_duration,float,2,62,62
pit,session_key,int,2,62,62
pit,stop_duration,null,2,0,62
position,date,str,2,927,927
position,driver_number,int,2,927,927
position,meeting_key,int,2,927,927
position,position,int,2,927,927
position,session_key,int,2,927,927
race_control,category,str,2,139,139
race_control,date,str,2,139,139
race_control,driver_number,int|null,2,38,139
race_control,flag,null|str,2,55,139
race_control,lap_number,int,2,139,139
race_control,meeting_key,int,2,139,139
race_control,message,str,2,139,139
race_control,qualifying_phase,null,2,0,139
race_control,scope,null|str,2,55,139
race_control,sector,int|null,2,13,139
race_control,session_key,int,2,139,139
session_result,dnf,bool,2,40,40
session_result,dns,bool,2,40,40
session_result,driver_number,int,2,40,40
session_result,dsq,bool,2,40,40
session_result,duration,float|null,2,22,40
session_result,gap_to_leader,float|int|null|str,2,38,40
session_result,meeting_key,int,2,40,40
session_result,number_of_laps,int,2,40,40
session_result,points,float,2,40,40
session_result,position,int|null,2,38,40
session_result,session_key,int,2,40,40
sessions,circuit_key,int,1,123,123
sessions,circuit_short_name,str,1,123,123
sessions,country_code,str,1,123,123
sessions,country_key,int,1,123,123
sessions,country_name,str,1,123,123
sessions,date_end,str,1,123,123
sessions,date_start,str,1,123,123
sessions,gmt_offset,str,1,123,123
sessions,is_cancelled,bool,1,123,123
sessions,location,str,1,123,123
sessions,meeting_key,int,1,123,123
sessions,session_key,int,1,123,123
sessions,session_name,str,1,123,123
sessions,session_type,str,1,123,123
sessions,year,int,1,123,123
weather,air_temperature,float,2,303,303
weather,date,str,2,303,303
weather,humidity,float,2,303,303
weather,meeting_key,int,2,303,303
weather,pressure,float,2,303,303
weather,rainfall,int,2,303,303
weather,session_key,int,2,303,303
weather,track_temperature,float,2,303,303
weather,wind_direction,int,2,303,303
weather,wind_speed,float,2,303,303
